Position ,Company Name ,Date of apply,Result Date ,Status,No of companies (Started Tracking),Company  Job Portal,Resume Tempelete Used (Click to access One Drive ),
Working Student (m/f/d) Data Science - Analytics & Services“,Diehl Metering GmbH,05-08-24,,Rejected ,35,Diehl Metering GmbH,,
Energy System Analyst (Internship or Working student contract) position,Elia Grid International,05-08-24,,Rejected ,36,Elia Grid International,,
Werkstudent*in (w/m/d) im Produkt Management für Remote Scanning,Siemens,05-08-24,,Rejected ,37,Siemens,,
Amazon Sortation Associate (m/f/d) - 85435 Erding,Amazon,06-08-24,,Rejected ,38,Amazon,,
Working student in quality and process management automotive (gn),Cognizant Mobility GmbH,06-08-24,,Rejected ,39,Cognizant Mobility GmbH,,
Intern Power BI and Microsoft Power Platforms Development ,BMW ,06-08-24,,Rejected ,40,BMW,Resume.pdf DE.pdf,
Working student in the field of CRM Application Management (m/f/d) (11295),MAN,06-08-24,08-08-24,Rejected ,41,MAN,,
Working student (m/f/d) – SIMULIA R&D Software Engineer,Dassault Systemes,06-08-24,07-08-24,Rejected ,42,Dassault Systemes,,
Praktikant Generative Artificial Intelligence,BMW ,07-08-24,,Rejected ,43,BMW,,
Intern Data Analytics and Process Management,BMW ,07-08-24,,Rejected ,44,BMW,,
Working Student (f/m/d) Data Research & Development,Siemens,07-08-24,12-08-24,Rejected ,45,Siemens,,
Working Student (f/m/d) Product Management – Procurement Analytics Platform,Siemens,07-08-24,,Rejected ,46,Siemens,,
Werkstudent (w/m/d) Datenpflege,Siemens,07-08-24,12-08-24,Rejected ,47,Siemens,,
Working Student (f/m/d) - Post Market Excellence,Siemens,08-08-24,12-08-24,Rejected ,48,Siemens,,
Werkstudent (m/w/d) im Bereich Customer Support,Peter Park,08-08-24,,Rejected ,49,Peter Park,,
"Working Student (x/f/m), Material Upload",eduki,08-08-24,13-08-24,Rejected ,50,eduki,,
Working Student Data Analytics ,Pwc,09-08-24,,Rejected ,51,Pwc,,
Working Student Customer Success,Socialbee,09-08-24,13-08-24,Rejected ,52,Socialbee,,
Working Student Data Analytics,BMW ,09-08-24,,Rejected ,53,BMW,,
Working Student for Data Analysis and HR Dashboards (Power BI) ,E.ON Country ,11-08-24,13-08-24,Rejected ,54,E.ON Country ,,
"Werkstudent (w/m/d) - Projektmanagement, Innovation, Strategie (262805) position",Siemens Energy,12-08-24,,Rejected ,55,Siemens Energy,,
"Intern / Working Student Pre-development Lighting Technology (m/f/d) - WiSe 24/25, 120888""",DRÄXLMAIER Group,12-08-24,,In-progress,56,DRÄXLMAIER Group,,
"Intern / Working Student Agile Development of Digital Products (m/f/d) - WiSe 24/25, 120826""",DRÄXLMAIER Group,12-08-24,,Rejected ,57,DRÄXLMAIER Group,,
Internship in Product Development - Large Language Models (LLM) for Building Security Applications,Bosch ,12-08-24,,Rejected ,58,Bosch ,,
Work Student - Logistics,Haier Europe,12-08-24,,In-progress,59,Haier Europe,,
Working Student:in E-Commerce,ACP Group,12-08-24,,Rejected ,60,ACP Group,,
Werkstudent (w/m/d) Support Training Activities - IT development ,Siemens Energy,13-08-24,,Rejected ,61,Siemens Energy,,
Werkstudent (w/m/d) Data Science (429603) position,Siemens,13-08-24,,In-progress,62,Siemens,,
Werkstudent (m/w/d) Entwicklung SharePoint Werk Zuffenhausen,Porche ,14-08-24,,In-progress,63,Porche ,,
